┌──────────────────────┬─────────────────────┬───────┐
│         city         │ Round(avg(price),1) │ count │
├──────────────────────┼─────────────────────┼───────┤
│ Łódź                 │ 191325.4            │ 324   │
│ Chorzów              │ 196981.1            │ 241   │
│ Warszawa             │ 230206.4            │ 240   │
│ Gdańsk               │ 252558.8            │ 174   │
│ Poznań               │ 158291.3            │ 96    │
│ Wrocław              │ 294324.2            │ 91    │
│ Płock                │ 329171.4            │ 73    │
│ Katowice             │ 145725.2            │ 64    │
│ Włocławek            │ 128267.7            │ 60    │
│ Kraków               │ 179220.2            │ 55    │
│ Częstochowa          │ 199160.9            │ 44    │
│ Rybnik               │ 185251.1            │ 42    │
│ Gliwice              │ 240298.2            │ 35    │
│ Nadarzyn             │ 169322.4            │ 34    │
│ Toruń                │ 126283.6            │ 30    │
│ Sosnowiec            │ 157783.7            │ 30    │
│ Zielona Góra         │ 177225.2            │ 26    │
│ Opole                │ 156378.8            │ 22    │
│ Gorzów Wielkopolski  │ 132687.5            │ 22    │
│ Olsztyn              │ 211149.9            │ 21    │
│ Wolica               │ 316630.0            │ 20    │
│ Bielsko-Biała        │ 152402.1            │ 20    │
│ Tychy                │ 200906.0            │ 17    │
│ Kalisz               │ 159682.8            │ 16    │
│ Gdynia               │ 205109.4            │ 16    │
│ Szczecin             │ 87299.2             │ 15    │
│ Dąbrowa Górnicza     │ 132000.0            │ 15    │
│ Piaseczno            │ 254221.2            │ 14    │
│ Bydgoszcz            │ 236986.3            │ 14    │
│ Kielce               │ 139890.8            │ 12    │
│ Baranowo             │ 120811.3            │ 12    │
│ Szczecinek           │ 155485.8            │ 11    │
│ Leszno               │ 331820.1            │ 11    │
│ Ciechanów            │ 110727.3            │ 11    │
│ Rzeszów              │ 145170.2            │ 10    │
│ Grudziądz            │ 140330.0            │ 10    │
│ Białystok            │ 165639.7            │ 9     │
│ Falenty              │ 197312.5            │ 8     │
│ Poczesna             │ 307763.3            │ 7     │
│ Modlnica             │ 255284.3            │ 7     │
│ Elbląg               │ 141757.1            │ 7     │
│ Suchy Las            │ 108895.0            │ 6     │
│ Nowa Wieś            │ 88766.7             │ 6     │
│ Mikołajowice         │ 85766.7             │ 6     │
│ Konin                │ 103350.0            │ 6     │
│ Bełchatów            │ 114965.0            │ 6     │
│ Wieliczka            │ 171226.0            │ 5     │
│ Swadzim              │ 191657.0            │ 5     │
│ Straszyn             │ 304500.0            │ 5     │
│ Liszki               │ 84133.6             │ 5     │
│ Długołęka            │ 215920.0            │ 5     │
│ Dobroń               │ 133100.0            │ 5     │
│ Przeźmierowo         │ 174125.0            │ 4     │
│ Zabrze               │ 132783.3            │ 3     │
│ Sławice              │ 289828.7            │ 3     │
│ Siedlce              │ 316253.3            │ 3     │
│ Piotrków Trybunalski │ 88400.0             │ 3     │
│ Mysłowice            │ 197652.7            │ 3     │
│ Lublin               │ 121433.3            │ 3     │
│ Jelonek              │ 188508.3            │ 3     │
│ Bielany Wrocławskie  │ 249355.7            │ 3     │
│ Ostrołęka            │ 88450.0             │ 2     │
│ Głogów Małopolski    │ 232200.0            │ 2     │
│ Wręczyca Wielka      │ 629000.0            │ 1     │
│ Wrzosowa             │ 101500.0            │ 1     │
│ Wołomin              │ 92500.0             │ 1     │
│ Stojadła             │ 105900.0            │ 1     │
│ Sopot                │ 112800.0            │ 1     │
│ Rumia                │ 99900.0             │ 1     │
│ Radzyń Podlaski      │ 188000.0            │ 1     │
│ Radom                │ 126550.0            │ 1     │
│ Piła                 │ 149100.0            │ 1     │
│ Pabianice            │ 86300.0             │ 1     │
│ Opatówek             │ 183900.0            │ 1     │
│ Nowy Targ            │ 113100.0            │ 1     │
│ Lubin                │ 68880.0             │ 1     │
│ Libertów             │ 82900.0             │ 1     │
│ Bytom                │ 147900.0            │ 1     │
│ Bielkowo             │ 155898.0            │ 1     │
└──────────────────────┴─────────────────────┴───────┘
